[2021-03-17 00:04:33.438738] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2202
[2021-03-17 00:04:33.438785] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2201
[2021-03-17 00:04:33.438821] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2112
[2021-03-17 00:04:33.438830] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2111
[2021-03-17 00:04:33.438856] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2110
[2021-03-17 00:04:33.438943] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2109
[2021-03-17 00:04:33.438950] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2108
[2021-03-17 00:04:33.438955] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2107
[2021-03-17 00:04:33.438961] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2106
[2021-03-17 00:04:33.438967] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2105
[2021-03-17 00:04:33.438972] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2104
[2021-03-17 00:04:33.438978] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2103
[2021-03-17 00:04:33.438984] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2201
[2021-03-17 00:04:33.438990] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2112
[2021-03-17 00:04:33.438995] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2111
[2021-03-17 00:04:33.439003] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2109
[2021-03-17 00:04:33.439008] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2108
[2021-03-17 00:04:33.439014] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2107
[2021-03-17 00:04:33.439021] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2105
[2021-03-17 00:04:33.439042] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: y2103
[2021-03-17 00:04:33.439067] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2202
[2021-03-17 00:04:33.439091] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2201
[2021-03-17 00:04:33.439098] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2112
[2021-03-17 00:04:33.439104] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2111
[2021-03-17 00:04:33.439110] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2110
[2021-03-17 00:04:33.439128] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2109
[2021-03-17 00:04:33.439146] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2108
[2021-03-17 00:04:33.439152] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2107
[2021-03-17 00:04:33.439173] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2106
[2021-03-17 00:04:33.439179] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2105
[2021-03-17 00:04:33.439186] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2104
[2021-03-17 00:04:33.439191] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: wr2103
[2021-03-17 00:04:33.439251] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2202
[2021-03-17 00:04:33.439257] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2201
[2021-03-17 00:04:33.439263] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2112
[2021-03-17 00:04:33.439269] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2111
[2021-03-17 00:04:33.439359] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2110
[2021-03-17 00:04:33.439392] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2109
[2021-03-17 00:04:33.439398] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2108
[2021-03-17 00:04:33.439403] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2107
[2021-03-17 00:04:33.439408] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2106
[2021-03-17 00:04:33.439414] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2105
[2021-03-17 00:04:33.439419] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2104
[2021-03-17 00:04:33.439425] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2103
[2021-03-17 00:04:33.439430] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2202
[2021-03-17 00:04:33.439436] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2201
[2021-03-17 00:04:33.439442] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2112
[2021-03-17 00:04:33.439448] [47529] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2111
